Brand,RAM,Rear Camera,Front Camera,Battery,Display Size,Resolution,Screen To Body Ratoio,ROM,Sim Slot,Wifi,Blutooth,FingerPrint Sensor,Price,Processor
Samsung,8 GB,12 MP + 64 MP + 12 MP,10 MP,4000 mAh,6.2 inches (15.75 cm),1080 x 2400 pixels,85.92%,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 6 (802.11 a/b/g/n/ac/ax) 5GHz, MIMO",Bluetooth,Yes,"Rs. 38,999.00","Octa core (2.9 GHz, Single Core + 2.8 GHz, Tri core + 2.2 GHz, Quad core)"
OPPO,8 GB,50 MP + 8 MP + 2 MP,32 MP,4500 mAh,6.4 inches (16.26 cm),1080 x 2400 pixels,84.21%,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.021 W/kg, Body: 1.080 W/kg",Wi-Fi Features,Yes,"Rs. 29,999.00","Octa core (3 GHz, Single Core + 2.6 GHz, Tri core + 2 GHz, Quad core)"
realme,4 GB,50 MP + 2 MP + 0.3 MP,8 MP,5000 mAh,6.6 inches (16.76 cm),1080 x 2408 pixels,84.62%,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.194 W/kg, Body: 1.130 W/kg",Wi-Fi Features,Yes,"Rs. 11,999.00","Octa core (2 GHz, Dual Core + 1.8 GHz, Hexa Core)"
vivo,4 GB,50 MP + 2 MP + 2 MP,16 MP,5000 mAh,6.44 inches (16.36 cm),1080 x 2400 pixels,84.49%,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 b/g/n/ac) 5GHz",Bluetooth,Yes,"Rs. 14,499.00","Octa core (2.4 GHz, Quad Core + 1.9 GHz, Quad core)"
OnePlus,4 GB,50 MP + 2 MP,8 MP,5000 mAh,6.56 inches (16.66 cm),720 x 1600 pixels,84.57%,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 4 (802.11 b/g/n)",Bluetooth,Yes,"Rs. 13,299.00","Octa core (2.3 GHz, Quad Core + 1.8 GHz, Quad core)"
Infinix,8 GB,108MP + 2MP Depth + AI Lens,16 MP,5000 mAh,6.78 inches (17.22 cm),1080 x 2460 pixels,84.81%,"256 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 a/b/g/n/ac) 5GHz, MIMO",Bluetooth,Yes,"Rs. 15,999.00","Octa core (2.4 GHz, Dual Core + 2 GHz, Hexa Core)"
vivo,8 GB,64 MP + 8 MP + 2 MP,50 MP,4500 mAh,6.44 inches (16.36 cm),1080 x 2404 pixels,84.77%,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 a/b/g/n/ac) 5GHz",Bluetooth,Yes,"Rs. 25,799.00","Octa core (2.4 GHz, Dual Core + 2 GHz, Hexa Core)"
vivo,6 GB,50 MP + 2 MP,8 MP,5000 mAh,6.58 inches (16.71 cm),1080 x 2408 pixels,84.31%,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.21 W/kg, Body: 1.16 W/kg",Wi-Fi Features,Yes,"Rs. 13,999.00","Octa core (2.2 GHz, Dual Core + 2 GHz, Hexa Core + Quad core)"
Samsung,12 GB,108 MP + 10 MP + 10 MP + 12 MP,40 MP,5000 mAh,6.8 inches (17.27 cm),1440 x 3200 pixels,89.44%,"256 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 6 (802.11 a/b/g/n/ac/ax) 5GHz, MIMO",Bluetooth,Yes,"Rs. 64,999.00","Octa core (2.9 GHz, Single Core + 2.8 GHz, Tri core + 2.2 GHz, Quad core)"
vivo,8 GB,50 MP + 2 MP,16 MP,5000 mAh,6.64 inches (16.87 cm),1080 x 2388 pixels,85.29%,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 a/b/g/n/ac) 5GHz",Bluetooth,Yes,"Rs. 16,999.00","Octa core (2.4 GHz, Quad Core + 1.9 GHz, Quad core)"
